melayu,ke,catatan:ms
ah,1,kata seru
am,1,kata nama
bu,1,nama panggilan 'ibu’
cu,1,nama panggilan ‘cucu’
di,1,kata sendi
eh,1,kata seru
fi,1,'fai’ iaitu nama abjad Yunani dan simbol dalam Fizik
fi,2,daripada kata asal ‘fee’ bagi 'bayaran’
gi,1,daripada kata asal ‘ghee’ bagi 'minyak sapi’
ia,1,'dia’
ia,2,juga 'ya’
ke,1,kata sendi
ki,1,nama panggilan seperti ‘si’
ku,1,'aku’
mi,1,daripada kata asal ‘mee’
mu,1,'kamu’
ni,1,'ini’
oh,1,kata seru
pi,1,'pai’ nama abjad Yunani dan simbol dalam Matematik
pi,2,'pergi’
qi,1,juga 'ci’ dan terjemah lazim ialah ‘aliran tenaga’
sa,1,'satu’
si,1,nama panggilan seperti 'si polan' atau 'si anu'
tu,1,'itu’
wa,1,nama panggilan seperti ‘pak wa’ dan ‘mak wa’
we,1,juga ‘weh’ dan seruan seperti ‘eh’ atau ‘kan’
ya,1,kata nama
yu,1,kata nama
