"tarjim","pilih"
"the","al"
"the","ini"
"the","itu"
"the","yang"
"be","ada"
"be","adalah"
"be","adanya"
"be","berada"
"be","demikianlah"
"be","jadi"
"be","maujud"
"be","menjadi"
"be","wujud"
"and","an"
"and","dan"
"and","dan ; lagi"
"and","dengan"
"and","lalu"
"of","bagi"
"of","berasal"
"of","dari"
"of","daripada"
"of","mengenai"
"a","satu"
"a","se"
"in","dalam"
"in","dalam ; pada"
"in","di"
"in","di dalam"
"in","inci"
"in","laws"
"in","masuk"
"to","di"
"to","di"
"it","dia"
"it","dia ; ia"
"it","ia"
"it","nya"
"that","agar"
"that","apa , begini , begitu ."
"that","bahawa"
"that","bahawa , yang supaya , sehingga ."
"that","bahawa ; itu ; yang"
"that","bahwa"
"for","bagi"
"for","bagi ; demi ; untuk"
"for","demi"
"for","jurusan"
"for","kerana"
"for","menghala"
"you","anda"
"he","beliau"
"he","dia"
"he","ia"
"with","ber-"
"with","bersama"
"with","berserta"
"with","dengan"
"with","dgn"
"with","kerana"
"with","pakai"
"with","sama"
"on","1 . 100 grams . 2 . ounce . -AN by the ounce"
"on","alas"
"on","atas"
"on","berlangsung"
"on","buka"
"on","di"
"on","di atas"
"on","hidup"
"this","ini"
"this","inilah"
"this","ni"
"this","nilah"
"this","ti"
"they","mereka"
"at","dekat"
"at","di"
"at","di ; pada"
"but","akan tetapi"
"but","akan tetapi ; malah ; malahan ; tetapi"
"but","boot"
"but","kecuali"
"but","malah"
"but","melainkan"
"but","sahaja"
"but","tapi"
"but","tapi , tetapi"
"but","tetapi"
"we","kami"
"we","kami ; kita"
"we","kita"
"from","dari"
"from","daripada"
"from","mulai"
"that","agar"
"that","apa , begini , begitu ."
"that","bahawa"
"that","bahawa , yang supaya , sehingga ."
"that","bahawa ; itu ; yang"
"that","bahwa"
"not","bukan"
"not","bukan ; tiada ; tidak"
"not","bukanlah"
"not","nggak"
"not","note"
"not","tak"
"not","taklah"
"by","dekat"
"by","dengan"
"by","di samping"
"by","hampir"
"by","melalui"
"by","melintasi"
"by","menerusi"
"by","menjelang"
"by","oleh"
"she","beliau"
"she","dia"
"she","ia"
"or","atau"
"or","atau ; ataupun"
"or","ataupun"
"as","bak"
"as","laksana"
"what","apa"
"what","apa (pertanyaan)"
"what","apa , apa ."
"what","apa ; apakah"
"what","apalah"
"what","mengapa"
"go","berjalan"
"go","bimbing"
"go","cubaan"
"go","giliran"
"go","habis"
"go","hapus"
"go","hilang"
"their","mereka"
"can","berupaya"
"can","bisa"
"can","bisa , dapat , kaleng ; boleh ."
"can","boleh"
"can","dapat"
"can","depat"
"who","siapa"
"who","siapa ; yang"
"who","siapalah"
"who","yang"
"who","yg"
"get","ambil"
"get","berjaya"
"if","andai"
"if","andai ; apakala ; bila ; jika ; jikalau ; kalau ; kiranya ; walau"
"if","andainya"
"if","jika"
"if","jikalau"
"if","kalau"
"if","kalaulah"
"if","kalo"
"if","malahan"
"her","dia"
"her","ia"
"her","kepunyaannya"
"her","nya"
"all","keseluruhan"
"all","kesemua"
"about","berkenaan"
"about","berkenaan , lebih kurang , berkeliling ,di mana-mana ."
"about","fasal"
"about","fasal ; memperkatakan ; tentang ; terhadap"
"about","hampir"
